name,school_code,points,is_cc,html_link
Tallimba Public School,3153,6,False,https://www.teach.nsw.edu.au/find-teaching-jobs/choose-rural/inland-southern-nsw/inland-southern-nsw-west-wyalong
Tharbogang Public School,3195,4,False,https://education.nsw.gov.au/teach-nsw/find-teaching-jobs/choose-rural/inland-southern-nsw/inland-southern-nsw---griffith-area
Tibooburra Outback Public School,3211,8,False,https://www.teach.nsw.edu.au/find-teaching-jobs/choose-rural/western-nsw/western-nsw-tibooburra
Tingha Public School,3218,6,False,https://www.teach.nsw.edu.au/find-teaching-jobs/choose-rural/inland-northern-nsw/inland-northern-nsw-glenn-innes-area
Tooleybuc Central School,3235,6,False,https://www.teach.nsw.edu.au/find-teaching-jobs/choose-rural/inland-southern-nsw/inland-southern-nsw-balranald
Toomelah Public School,3239,8,True,https://www.teach.nsw.edu.au/find-teaching-jobs/choose-rural/inland-northern-nsw/inland-northern-nsw-far-north-area
Tooraweenah Public School,3242,4,False,https://education.nsw.gov.au/teach-nsw/find-teaching-jobs/choose-rural/inland-northern-nsw/inland-northern-nsw-western-plains-area
Tottenham Central School,3249,6,False,https://www.teach.nsw.edu.au/find-teaching-jobs/choose-rural/inland-southern-nsw/inland-southern-nsw-condobolin-area
Trangie Central School,3254,4,False,https://www.teach.nsw.edu.au/find-teaching-jobs/choose-rural/inland-northern-nsw/inland-northern-nsw-nyngan-area
Trundle Central School,3259,6,False,https://www.teach.nsw.edu.au/find-teaching-jobs/choose-rural/inland-southern-nsw/inland-southern-nsw-parkes-area
Tullamore Central School,3270,6,False,https://www.teach.nsw.edu.au/find-teaching-jobs/choose-rural/inland-southern-nsw/inland-southern-nsw-parkes-area
Tullibigeal Central School,3272,6,False,https://www.teach.nsw.edu.au/find-teaching-jobs/choose-rural/inland-southern-nsw/inland-southern-nsw-condobolin-area
Tulloona Public School,4225,8,False,https://www.teach.nsw.edu.au/find-teaching-jobs/choose-rural/inland-northern-nsw/inland-northern-nsw-far-north-area
Ungarie Central School,3311,6,False,https://www.teach.nsw.edu.au/find-teaching-jobs/choose-rural/inland-southern-nsw/inland-southern-nsw-west-wyalong
Urana Public School,3314,6,False,https://education.nsw.gov.au/teach-nsw/find-teaching-jobs/choose-rural/inland-southern-nsw/inland-southern-nsw-wagga-wagga-area
Wade High School,8470,4,False,https://education.nsw.gov.au/teach-nsw/find-teaching-jobs/choose-rural/inland-southern-nsw/inland-southern-nsw---griffith-area
Wakool Burraboi Public School,3336,6,False,https://www.teach.nsw.edu.au/find-teaching-jobs/choose-rural/inland-southern-nsw/inland-southern-nsw-edward-river-area
Walgett Community College - High School,8475,8,True,https://www.teach.nsw.edu.au/find-teaching-jobs/choose-rural/inland-northern-nsw/inland-northern-nsw-Lightning-Ridge-Walgett-area
Walgett Community College - Primary School,3342,8,True,https://www.teach.nsw.edu.au/find-teaching-jobs/choose-rural/inland-northern-nsw/inland-northern-nsw-Lightning-Ridge-Walgett-area
Walhallow Public School,3343,6,False,https://www.teach.nsw.edu.au/find-teaching-jobs/choose-rural/inland-northern-nsw/inland-northern-nsw-mid-north-area
Wamoon Public School,3364,4,False,https://education.nsw.gov.au/teach-nsw/find-teaching-jobs/choose-rural/inland-southern-nsw/inland-southern-nsw-leeton-area
